citys                                      ,content                                                                                                                                                                                                                                                                                                                                                             ,evaluate,labs,nams           ,scores,times          ,user_info                                             ,votes
['北京']                                     ,虽然不是漫威迷，但也看了所有的漫威电影，虽然大部分是睡过去的，这部从一开始就把影片的基调定的很伤感，让所有CP相遇告别，让角色重回当年的场景，也是让观众跟这个超英宇宙告别，已经纯粹是一部粉丝电影了，拖拖拉拉的节奏和功能性太强的穿越设计，故事已经不重要了，最后满眼都是超级英雄们的生死和这十年的情怀了。                                                                                                                                                                                                              ,还行      ,看过  ,亵渎电影           ,['30'],2019/4/26 15:15,"['zhangzongqian ', ' 2009-04-14加入']"                 ,135
['四川成都']                                   ,地球人真厉害                                                                                                                                                                                                                                                                                                                                                              ,还行      ,看过  ,木卫二            ,['30'],2019/4/26 22:56,"['MovieL ', ' 2006-03-29加入']"                        ,110
['北京']                                     ,剧作平庸，叙述平庸。但有些时刻非常伟大：当人们面对灭霸这样难缠的魔头，不仅需要宣扬个人英雄主义的icon，还需要icon团结起来。PS：美队的翘臀诱惑指数满星，对美队结局非常不满。                                                                                                                                                                                                                                                                          ,还行      ,看过  ,南悠一            ,['30'],2019/4/24 3:49 ,"['Allan.Vr ', ' 2009-03-03加入']"                      ,146
['上海']                                     ,3.5；整个系列的全面回顾，在各条时间线上漫游宛如自身亦在神游往事，从2012年起的每个时间节点都历历在目，此系列予我的最大意义或许就是见证了自己如何渡过地狱一季，正如片尾传达的“活下去，才是最好的礼物”。仍是一部粉丝倾向明显的商业大片，但并不妨碍每个观众投射于其中的主观情感，我们在电影中相遇，然后同样在影院的黑暗中分离，目睹了一个世代的崛起及尘埃落定，这种与有荣焉的参与感更多出于自我感动，但又有何关系呢，尘归尘土归土，他们最终找到各自归宿，我们亦会。                                                                                                                                ,还行      ,看过  ,欢乐分裂           ,['30'],2019/4/24 13:49,"['flowermumu ', ' 2006-04-21加入']"                    ,119
['浙江宁波']                                   ,MCU拍到这个份上已经完全和宏大场景无关了，一切都是属于人物，然而人物关系虽然立起来了，但在太多时刻一切却都与摄影机无关，它竟会如此不在乎眼前的空间和英雄的悲伤，这部电影再次显示了罗素兄弟面对超大格局叙事时的无能和混乱（反观《美队2》中恰到好处的角色数量和设定），不过总的来说这部终章还是给出了一些属于这些角色的动人时刻。                                                                                                                                                                                                   ,还行      ,看过  ,TWY            ,['30'],2019/4/24 3:10 ,"['terenceyibo ', ' 2013-12-08加入']"                   ,100
['Norfolk Island']                         ,哎，粉丝表示尽管是粉丝向，这是我能给最多的分了。无力吐槽……虽然还是值得去影院看一看，但如果你那三小时不是可有可无的话，还是等在线吧。                                                                                                                                                                                                                                                                                                 ,还行      ,看过  ,意生夏尋意          ,['30'],2019/5/19 0:48 ,"['yangziqing ', ' 2010-07-20加入']"                    ,1
['上海']                                     ,换导演好吗？拍成这样对得起那些英雄吗？仿佛官方同人短片集锦，大场面指环王的格局，海王的实操，节奏还不如呢。结尾想想超人之死那一段，真诚和扎导道了个歉。片不好好拍，营销倒是一套接一套。                                                                                                                                                                                                                                                                         ,还行      ,看过  ,Ani'mal        ,['30'],2019/4/24 13:01,"['135914847 ', ' 2015-10-12加入']"                     ,83
['福建福州']                                   ,「总是在记挂过去的人，永远都不可能创造未来。」——紫薯の哲学家·阿灭                                                                                                                                                                                                                                                                                                                                  ,还行      ,看过  ,冰山的阴影          ,['30'],2019/4/25 12:40,"['Rynill5 ', ' 2011-12-14加入']"                       ,54
['湖北武汉']                                   ,所谓的情怀，并不足以掩盖这部大乱斗电影的平庸                                                                                                                                                                                                                                                                                                                                              ,还行      ,看过  ,工部侍玩           ,['30'],2019/4/24 8:05 ,"['89438065 ', ' 2014-05-22加入']"                      ,82
['北京']                                     ,没啥故事，烂大街的穿越梗，就是个漫威联欢会，想办法让以前的主要人物都出来露个脸，说说话，比划比划，比第三部差远了。睡着两三次，一次眯了一下一睁眼就看那XXX死了，刚才还聊天呢啊……没彩蛋，看完赶紧上厕所去吧。                                                                                                                                                                                                                                                            ,还行      ,看过  ,麻绳             ,['30'],2019/4/24 17:07,"['ma-sheng ', ' 2008-03-26加入']"                      ,65
['湖北武汉']                                   ,"1  说真的diss别人写影评插科打诨，这部电影不是吗？
2  前面一半每个角色看着悲痛，但还是时不时说着段子（冷笑话）。
3  回到过去见亲人，或许对粉丝很友好但真的有点巧，为了情怀加彩蛋bug层出不穷这真是一部好电影该有的？这会还是有各种投机取巧的段子。还有星爵听歌那段，我真的不是在看抖音？
4  黑寡妇死跟钢铁侠死气氛的确营造的不错，这里加分。
5  惊队的意义就是把漂泊在宇宙的钢铁侠救回去，然后对电影推动起不到任何作用。
6  上面一点就暴露了一个问题，一部电影讲述的人物过多就会碎片化，更何况还有那么多没有实质性意义的角色，三个小时显得非常拖沓。
因为是这阶段mcu最后一部电影。7分"                                                                                                                                                                                                                                                                              ,还行      ,看过  ,予己一书           ,['30'],2019/4/24 3:51 ,"['141115309 ', ' 2016-01-26加入']"                     ,64
[]                                         ,中规中矩，排除粉丝滤镜我只能给3分                                                                                                                                                                                                                                                                                                                                                   ,还行      ,看过  ,ｋīＳＳ_∪         ,['30'],2019/4/24 3:30 ,"['21400397 ', ' 2009-11-03加入']"                      ,71
['北京']                                     ,我仍然可以为我爱的超级英雄们尖叫，但是蹭了那么多时间穿越电影的逻辑漏洞，自己的时间线已经是筛子，剧本逻辑太差了。                                                                                                                                                                                                                                                                                                            ,还行      ,看过  ,孔府小鱼           ,['30'],2019/4/24 3:52 ,"['kxty1028 ', ' 2012-07-15加入']"                      ,67
[]                                         ,时间线混乱，毫无逻辑可言，只有后来的战斗场面让人热血了一点。人物ooc严重化，特别是锤和队，先是把队13的感情线强行抹掉，后来为了自己而抛下巴基，无论是队长还是Steve都不会做出这样的事。雷神更狠，仿佛把雷神系列里的成长直接抹杀掉，整部电影都被沦落为笑柄，雷3的天神不复存在。                                                                                                                                                                                                                         ,还行      ,看过  ,贾凡的仙女棒棒        ,['30'],2019/4/24 9:09 ,"['88652717 ', ' 2014-05-10加入']"                      ,72
['广东佛山']                                   ,本最该有史诗感的一部却在史诗感上让人失望了，漫威在插科打诨全员嘴炮吐槽这个写法上用的有点过了。不过结局美队的选择和那支舞倒确实惊喜到我，他的人物落点也圆满了。                                                                                                                                                                                                                                                                                     ,还行      ,看过  ,Valery         ,['30'],2019/4/24 3:13 ,"['76819168 ', ' 2013-08-18加入']"                      ,67
['北京']                                     ,漫威粉丝的狂欢……各种溜粉，导演还是知道观众想看什么，感觉路人口碑要崩……太多bug，比不上指环王                                                                                                                                                                                                                                                                                                                   ,还行      ,看过  ,钟爱华语片          ,['30'],2019/4/24 4:36 ,"['154440457 ', ' 2016-11-29加入']"                     ,70
"['London, United Kingdom']"               ,营销满分，赢得是流量。作为漫威系列的终结篇，评分虚高（可能是我的期待值过高）                                                                                                                                                                                                                                                                                                                              ,还行      ,看过  ,膠片時代           ,['30'],2019/4/24 20:59,"['Harbin2012 ', ' 2013-08-17加入']"                    ,61
[]                                         ,前1/3 part，看几位超级英雄洗尽铅华过着常人的生活、体验着世俗的情感，几场戏下来还是有不少触点。然而接下去，不争气的我又睡着了……                                                                                                                                                                                                                                                                                                ,还行      ,看过  ,荔枝超人           ,['30'],2019/4/24 14:01,"['richer725 ', ' 2006-03-10加入']"                     ,60
['上海']                                     ,如果上一部因为某个原因多打了一颗星的话，那这一部因为同样的原因只能扣掉一颗星了。而且不知道为什么在片长要溢出的情况下，仍然要加很多无意义的笑料。                                                                                                                                                                                                                                                                                            ,还行      ,看过  ,Thor(in)Asgard ,['30'],2019/4/24 12:54,"['vigshane ', ' 2006-09-14加入']"                      ,56
['北京']                                     ,你要说给1星吧，肯定招黑，最后乱战怎么也值2星。姑且三星吧。漫威这套电影使得近十年商业电影有了捷径。这时期又是国内娱乐生活的爆发期，也就是看电影的人多了。对所谓的英雄崇拜。对于我们从80-90年代看少年漫画和游戏长大的来说。无论人物还是剧情都没什么特色，无非看看特效。无剧情与所谓的情怀支撑起了系列。我也不是都不喜欢，博士和蚂蚁就很好看，人物命运的改变，比较具有戏剧性。内战也不错，美队有几段挺不错的。不过复联系列，杂糅个人经历的大排档，在我看来很正义联盟也差不多。我觉得有几部独立英雄电影更好看。黑寡妇的间谍，博士的魔法世界大战，蚁人对抗犯罪组织，如果能有续作，我会很开心的。                                                                   ,还行      ,看过  ,detectiveeva   ,['30'],2019/4/24 13:37,"['38074203 ', ' 2010-04-02加入']"                      ,48
['湖北武汉']                                   ,好的地方也有，但不好的地方也特别显眼……                                                                                                                                                                                                                                                                                                                                                ,还行      ,看过  ,伊谢尔伦的风         ,['30'],2019/4/26 8:41 ,"['iserlohnwind ', ' 2006-12-25加入']"                  ,35
['广东广州']                                   ,这电影拍得不像是一家大型影视公司的憋了很久的阶段性答卷，反而像一家濒临倒闭的影视公司为了在倒闭前最后一次回馈老客户而强行凑出来的作品。/看完之后瘫在凳子上有种说不出的寂寞， 老人居然全部一下子退场了而不是陆续退场，并且并没有培养出靠谱的接班人，接下来你们打算怎么拍呢？/其实还是可以拆成两部讲得清楚一点。                                                                                                                                                                                                            ,还行      ,看过  ,苍海王子           ,['30'],2019/4/24 14:38,"['45361858 ', ' 2010-08-29加入']"                      ,66
['陕西西安']                                   ,灭霸死的时候竟然让我有些伤感？如果对妇联有感情，最好就把3当成终点，4像大学毕业时的合影时间。人在学校，可心早已不在。往往最值得回忆的竟然是大三那段回忆。灭霸就是我们主任。你个响指我的毕业证就没戏了……                                                                                                                                                                                                                                                               ,还行      ,看过  ,正军             ,['30'],2019/4/25 8:39 ,"['myafilm ', ' 2016-07-20加入']"                       ,42
[]                                         ,群英荟萃，萝卜开会。喂，物价局？                                                                                                                                                                                                                                                                                                                                                    ,还行      ,看过  ,FKA Twinks     ,['30'],2019/4/25 11:54,"['gayrabbit ', ' 2008-06-19加入']"                     ,38
['江西南昌']                                   ,给自己十年的情怀买个单，怀念自己打五星时代的漫威，真的对迪斯尼流水线严重审美疲劳，这次还给我带水分的，迪斯尼完美诠释什么叫流量电影，其实这部电影看的重点就是那些明星偶像超英说说话蹦蹦跳跳而已，观众不断告诉自己这是最后看到这个看到那个，祭奠自己的青春，抛开这些真的没有什么亮点，电影并不是很出色，甚至有些无聊，我有时候很羡慕那些流量明星的粉丝，他们一定很幸福，看自己的偶像都是最美的最好的，可惜我做不到了，以后没有美队 钢铁侠 雷神可以轻松告别漫威。                                                                                                                                    ,还行      ,看过  ,rune1121       ,['30'],2019/4/24 4:32 ,"['41036146 ', ' 2010-05-22加入']"                      ,52
['广东深圳']                                   ,1、量子领域、量子纠缠、灵魂宝石、平行时空…… 这些完全可以发展出崭新世界观的有趣设定全部丢掉，退行到无聊至极的“回到过去”梗，整一个“回顾漫威十年大彩蛋” ；2、阿灭干掉全宇宙半数生灵，其他星球的人在干嘛呢？坐等惊队救赎吗？不来围剿阿灭吗？没有，一个铁人就够了，为了情怀抛弃世界观合理性和戏剧想象力的典型操作；3、所有角色都沦为龙套，在头号玩家式的大混战里丢丢斧头打打手枪，就算完成这些人物的交代了吗？未来漫威的主角就是一个毫无性格、毫无设定、背后站着一群女权簇拥的惊奇队长了吗？收官之作可以继往，不用开来了吗？漫威宇宙结束了吗？4、第一次感到复仇者联盟更像是一个不怎么用心思考，只知道维持眼前伪善怀旧温情的右派保守主义蠢货，令我完全失去了对他们的共情，并为阿灭遗憾。一个时代终结，希望下一个能更有勇气    ,还行      ,看过  ,陈矮             ,['30'],2019/4/25 1:51 ,"['ShortyChen ', ' 2012-01-31加入']"                    ,43
"['Boston, United States']"                ,大多数的剧情朝着既定已知的方向发展，情绪是真，套路卖情怀也是真；Marvel对Gwyneth真的是亲女儿了，片尾咖位那么后面，而且当中还有一句和Downey的台词是推销影后的那个不知所谓的“Goop”生意，我:??? 最触动的是Peter Parker递给Carol手套那里，数代女性角色得以（接近）全员集结，虽然画面定格不过几秒又略形式，但从最开始的花瓶配置常换常新，到发出声量的惊队等更多，她们同样走过了太多。*To every AWESOME sheroes*                                                                                                                           ,还行      ,看过  ,基瑞尔            ,['30'],2019/4/24 15:57,"['stevecarell ', ' 2012-01-14加入']"                   ,30
['广东梅州']                                   ,不是很好看…剧情拖沓，感情戏又臭又长又乱……泪点没有燃点没有就只那几个镜头很好笑…惊奇队长就是个扛飞船的伙夫看不懂她存在的意义。喜欢的英雄还是很可爱的?                                                                                                                                                                                                                                                                                        ,还行      ,看过  ,jisai!         ,['30'],2019/4/24 7:11 ,"['146093301 ', ' 2016-05-21加入']"                     ,68
"['Hamburg, Germany']"                     ,超级英雄、电影主创和影迷观众完成了一场超大型告别会，英雄有了各自归宿，主创完成各自使命，影迷告别各自青春。欢笑也好，泪水也罢，在时间面前都混合成彼此心有灵犀的感动，复仇者联盟的最后一战不负众望。但是，抛开所有自我感动的情怀，在二刷《复仇者联盟4终局之战》之后，我发现我无法再对影片产生连接，我发现影片更像一个时长三小时的美剧，前期回顾+时空穿越+下回分解。我不得不佩服罗素兄弟的缜密设计，所有影迷想要的他们都做到了，甚至还隐藏不少惊喜，但也因此我能看到扣在影片上牢牢的枷锁。《复仇者联盟4终局之战》是一部合格的水准之上的作品，它给了角色与影迷最好的交代，但缺乏令人难以忘怀的电影之独立自由的灵魂。                                                          ,还行      ,看过  ,天马星            ,['30'],2019/4/25 15:40,"['68499588 ', ' 2013-01-27加入']"                      ,24
['北京']                                     ,所有人都出现了，但没等来范冰冰和王学圻，所以我哭了……                                                                                                                                                                                                                                                                                                                                         ,还行      ,看过  ,大瘦瘦            ,['30'],2019/4/25 20:35,"['shoushouan ', ' 2007-08-29加入']"                    ,30
['北京']                                     ,感觉终于从这个系列里解脱了。绿幕电影从根本上讲欠缺的并不是现实感或现实主义，而是欠缺阿甘本所说的将现实“提纯”过程，它从诞生起就是高度纯净的，全程亦受到精密的控制，尽管这样的效果美轮美奂，但我真的是受够了。                                                                                                                                                                                                                                                             ,还行      ,看过  ,不惧注销           ,['30'],2019/4/25 19:03,"['luxifaer ', ' 2009-05-18加入']"                      ,29
['浙江杭州']                                   ,算是罗素超常发挥了吧 ★★★☆                                                                                                                                                                                                                                                                                                                                                     ,还行      ,看过  ,qw0aszx        ,['30'],2019/4/24 13:23,"['88439681 ', ' 2014-05-07加入']"                      ,23
['北京']                                     ,人多，场面大，平铺直叙，给大家都争取了个露脸机会，只能说安全上垒，勉强及格，没有任何惊喜。说真的不是粉丝就别专门去看了，我这样每部不落的看完感觉也就那样。9分8分的太可笑了，感觉做成这样也挺贵的吧？给个7.5分不能再多了。                                                                                                                                                                                                                                                     ,还行      ,看过  ,過期貓糧           ,['30'],2019/4/27 1:33 ,"['catfoodcan ', ' 2008-08-25加入']"                    ,21
['江苏淮安']                                   ,就像是一场大餐最后的压轴甜点，努力满足所有需求，努力挽回所有遗憾，努力搅合所有想法。薄薄的糖壳裹着玻璃碴，玻璃碴盖不住剧情漏洞和人设矛盾，所有人物都留下了意难平，这电影凭什么拿到豆瓣9.1分？                                                                                                                                                                                                                                                                    ,还行      ,看过  ,rzwawa         ,['30'],2019/4/24 23:52,"['57113791 ', ' 2011-12-18加入']"                      ,39
['上海']                                     ,好一场宇宙量子时空。。。橄榄球？？？                                                                                                                                                                                                                                                                                                                                                  ,还行      ,看过  ,头你别疼了星人        ,['30'],2019/4/24 18:34,"['bruceyew ', ' 2005-07-08加入']"                      ,20
['北京']                                     ,初代英雄集体谢幕，对十年漫威企划的圆满作结。巨星阵容太臃肿，情怀需求攒得太满，已经严重挤压了故事空间，这个结局对所有主演和漫威来说都是一次彻底解放。就拿这集来说，穿越做得实在太敷衍和潦草了。当然，将22部融会贯通回顾一遍必定感人至深，迪士尼和漫威在IP经营上确实是全球的老大哥。除元老外其他基本都是客串，我奇异博士戏份就少得可怜，已经尽量将各方面考虑平衡到最好了吧。                                                                                                                                                                             ,还行      ,看过  ,皮皮光我们走         ,['30'],2019/4/25 2:40 ,"['hexiaoqin ', ' 2009-09-11加入']"                     ,20
"['Paris, France']"                        ,用最笨拙的方式自我致敬，可是逻辑Bug让我夜不能眠。英雄集结总是来得太晚，至少证明了灭霸是个彻头彻尾的恶棍大Boss，“不要听他说什么，关键看他做什么”！                                                                                                                                                                                                                                                                                       ,还行      ,看过  ,Luc            ,['30'],2019/4/24 3:17 ,"['LucFrance ', ' 2007-11-05加入']"                     ,25
['北京']                                     ,好吧迪斯尼你赢了……再有续集不会去看了。感觉是大数据编剧，谁的粉丝多就给谁发便当？四分之一的人都不知道谁是谁。。。粉丝向电影，发了好多糖。                                                                                                                                                                                                                                                                                               ,还行      ,看过  ,阿子-            ,['30'],2019/4/24 13:31,"['pandapie ', ' 2006-03-28加入']"                      ,21
['江苏南京']                                   ,其实根本没有什么好剧透的，黑寡妇个人格斗能力估计还不如徐浩峰，牺牲她换来灵魂宝石是最经济的。钢铁侠和美国队长早就宣布不续约了，不是死就是退休。后半段的大决战在特效上也是乏善可陈，还没有复仇者联盟3好看。漫威这样再拍下去真的来不动了。                                                                                                                                                                                                                                                ,还行      ,看过  ,redhousepainter,['30'],2019/4/27 20:05,"['redhousepainter ', ' 2006-06-12加入']"               ,15
['北京']                                     ,可能只有我心疼惊奇队长吧，别人是人设崩塌，她是没有人设                                                                                                                                                                                                                                                                                                                                         ,还行      ,看过  ,Brockiller     ,['30'],2019/4/24 20:56,"['KeithMoon ', ' 2010-04-04加入']"                     ,39
['上海']                                     ,非漫威粉说句老实话会被打吗？《复联4》的冗长无聊，人物的拥挤，足以让这部大结局成为一部非常平庸的作品。                                                                                                                                                                                                                                                                                                                 ,还行      ,看过  ,Anita 煎酿三婶     ,['30'],2019/4/24 23:30,"['66178804 ', ' 2012-11-11加入']"                      ,23
['陕西西安']                                   ,《复仇者联盟4:终局之战》消解并重构了“超级英雄”所代表的含义，回望并告别了那些记忆尤深的人与事，这是结束，也是开始。                                                                                                                                                                                                                                                                                                         ,还行      ,看过  ,康报虹            ,['30'],2019/4/24 19:48,"['kangbaohong ', ' 2014-05-23加入']"                   ,18
['四川成都']                                   ,其实和十来年前漫画市场上发生的事情没有多大的区别，漫威凭借更加贴近生活的英雄策略占领市场，DC则沉湎于过去的荣光不能自拔，偶尔拿出些好东西却又随手抛弃。那时的我，多半会嘲笑如今这个平心静气面对偶像化英雄的我吧，然而他并不知道，在他眼里怎么都不够顺眼的黑暗骑士才是他梦想的神话时代最后的余晖，如今一切都更糟糕了。MCU这个阶段的结束，希望，是超级英雄重新对正义发出疑问的开始（金刚狼和蝙蝠侠不能再TMD继续缺席了！）。                                                                                                                                                    ,还行      ,看过  ,godannar       ,['30'],2019/4/28 15:31,"['cloudys ', ' 2007-02-22加入']"                       ,7
['上海']                                     ,对漫威电影实在是无感，表白黑寡妇。                                                                                                                                                                                                                                                                                                                                                   ,还行      ,看过  ,Cobain         ,['30'],2019/4/24 18:43,"['hans_berdych ', ' 2012-07-01加入']"                  ,6
['广西桂林']                                   ,我上一篇豆瓣影评是写给DC的，其实写了一半篇幅给漫威，还写了一个细节，可能很多人不记得，漫威宇宙的第一部电影《钢铁侠》，早于美国本土三天首映，你可以从象征意义上去认为，漫威宇宙诞生于中国。这就是为什么漫威系列不管多烂，总是排片满满，总是没道理的高分，这是十年青春的结集，周星驰给不了的，漫威填满了。当然，超英电影我就看个乐呵，虽然我也一部不拉地看齐了，但大多数是自己一个人看的，以至于谁出场都没唤起我任何情怀，我吃过的快餐太多，论最好吃的快餐嘛，就，对付生活而已了，实在没有必要感叹啊 。                                                                                                                ,还行      ,看过  ,非常不小心          ,['30'],2019/4/28 2:25 ,"['fcbuxiaoxin ', ' 2010-09-01加入']"                   ,12
['北京']                                     ,"从钢铁侠1到现在，姑且算圆满收工吧，从开始的惊喜到现在的疲倦，可能罗素兄弟水平也就这样了，商业考虑大于剧情合理性的电影。不过好歹漫威成了，之后应该也不会有这样的成功了。
你自己的时间穿越也就这个水平啊，何苦嘲笑别人呢。
最后的大战，好看在哪里？组了一个妇联？"                                                                                                                                                                                                                                                                               ,还行      ,看过  ,万户             ,['30'],2019/4/25 11:33,"['wdf259 ', ' 2006-07-18加入']"                        ,13
['福建漳州']                                   ,只值三十块…                                                                                                                                                                                                                                                                                                                                                              ,还行      ,看过  ,姜斋             ,['30'],2019/4/24 23:12,"['59218953 ', ' 2012-03-06加入']"                      ,11
[]                                         ,"时间线乱成翔了一堆bug 气死我了（本来美队一句avengers assemble我都要哭惹（ps.竟然还有银翼杀手梗，以及是“I love you, 3000”不是“I love you 3000 times”（？"                                                                                                                                                                                                                                                      ,还行      ,看过  ,Ixtab          ,['30'],2019/4/24 17:46,"['Ixtab ', ' 2007-03-22加入']"                         ,9
['北京']                                     ,22部至少睡了15部那种，最后一部没睡是最大的尊重了。                                                                                                                                                                                                                                                                                                                                         ,还行      ,看过  ,安德烈大叔          ,['30'],2019/4/30 21:32,"['christopherlin ', ' 2009-08-22加入']"                ,8
['北京']                                     ,根本不用别人透，这片完全可以自己剧透自己，只要掌握几个推理前提：第一，片酬贵、合约到期的都会体面退场，越贵越体面；第二，后续电影和三部曲还没拍完的不会有事，还得留点伏笔；第三，女性和少数族裔肯定政治正确，但迪斯尼价值观不会允许任何BG结局和回归家庭以外的可能性。然则肥宅和妈宝招你惹你了嗯？结尾“真妇联”堪称最大笑点。三星。                                                                                                                                                                                                  ,还行      ,看过  ,默语生            ,['30'],2019/4/27 0:27 ,"['yeun ', ' 2007-05-18加入']"                          ,8
