citys                                      ,content                                                                                                                                                                                                                                                                                                                                                                          ,evaluate,labs,nams           ,scores,times          ,user_info                                                          ,votes
"['Praha, Czech Republic']"                ,对某人而言这就叫有始有终吧，这个时代的星战（90后终于有长达十年的情怀和回忆了）                                                                                                                                                                                                                                                                                                                                         ,推荐      ,看过  ,深夜的阿斯伯格        ,['40'],2019/4/24 0:03 ,"['35827809 ', ' 2010-02-24加入']"                                   ,5890
"[""P'y?ngyang, North Korea""]"            ,用三个小时的时间，与大家告别。是集结，是重聚，是告别，是牺牲。作为系列的最终篇，确实已经努力做到最好了，有笑点、有泪点、也有燃点。这个世代结束了，下个世代再会！                                                                                                                                                                                                                                                                                                 ,推荐      ,看过  ,桃桃淘电影          ,['40'],2019/4/24 3:07 ,"['qijiuzhiyue ', ' 2005-10-09加入']"                                ,5549
['浙江杭州']                                   ,搞不懂惊队吹这么久是为什么啥……感觉就是打了个酱油???                                                                                                                                                                                                                                                                                                                                                     ,推荐      ,看过  ,sunmmr丶sea     ,['40'],2019/4/24 3:50 ,"['132806276 ', ' 2015-08-10加入']"                                  ,5255
[]                                         ,I love you three thousand times.                                                                                                                                                                                                                                                                                                                                                 ,力荐      ,看过  ,Theo           ,['50'],2019/4/24 2:50 ,"['160603635 ', ' 2017-04-23加入']"                                  ,5451
[]                                         ,"(不剧透，说一下我看复联4的经历)
为了看复联4的零点场，我平时省吃俭用，终于抢到了几百块钱的“皇帝座”，晚上还要翻墙出学校去电影院，看完了以后，还要早起去上课，为了看复联4，我也是拼了！
此生无悔入漫威！"                                                                                                                                                                                                                                                                                                     ,力荐      ,看过  ,東林Doning       ,['50'],2019/4/24 0:00 ,"['154773762 ', ' 2016-12-08加入']"                                  ,4007
['河南郑州']                                   ,"看电影时:为了不剧透，为了更好地向奇异博士学习，那就只夸好看吧。
看完电影后:啊啊啊啊啊啊啊啊，我的黑寡妇，我的钢铁侠。
“我们赢了，史塔克先生！”
接受所有的结局，认认真真地说再见！
I love you three thousand times！我爱你三千遍！
I'm Iron Man."                                                                                                                                                                                                                                                                                                                                          ,力荐      ,看过  ,Evan☆          ,['50'],2019/4/24 0:10 ,"['170642177 ', ' 2017-12-06加入']"                                  ,2700
['北京']                                     ,我爱 小罗伯特·唐尼 / 克里斯·埃文斯 / 克里斯·海姆斯沃斯 / 杰瑞米·雷纳 / 马克·鲁弗洛 / 斯嘉丽·约翰逊  以及漫威所有的人！十年青春，感谢有你，此生不悔！！！                                                                                                                                                                                                                                                                                         ,力荐      ,看过  ,哆啦A梦你在吗        ,['50'],2019/4/24 2:51 ,"['49136180 ', ' 2011-01-31加入']"                                   ,1839
['四川成都']                                   ,七刷。午夜场首映观毕，全场掌声雷动，肆意狂欢，私心完美的史诗终结篇，但内心却是七荤八素、五味杂陈。在这一刻情怀可以暂时性的战胜一切，是一次总结，也更像是一次酝酿许久的毕业巡礼。热血、呐喊、震撼、共鸣、感动、不舍与怀念，11年22部电影积累的，所有按耐已久的情绪这在一刻得到彻底的释放与宣泄。多年来一切独属于漫威的记忆犹如昨日重现，历历在目。感谢漫威，给了我们广大超英影迷最美好最弥足珍贵的十年。每段旅程，都有终点，辉煌永存过去，未来来日可期，传奇暂时靠岸停歇，但故事远远没有结束。期待下一个十年，甚至是二十年，来日方长，不说再见～                                                                                                        ,力荐      ,看过  ,发条橙            ,['50'],2019/4/24 2:55 ,"['Duansiyu_1996 ', ' 2017-11-16加入']"                              ,1670
[]                                         ,一个女人，一直以凡人的血肉之躯出生入死，她从未有过真正意义上的家人，从未和哪个喜欢过的人真正在一起过，最后还为了世界献出生命，死在了那么遥远的地方，死后甚至没有一场体面的葬礼，她的朋友们经过短暂的悲伤之后都像没事人一样几乎不提及她了，最后某人被全世界缅怀铭记的时候她几乎就像不存在过一般，还能再惨点吗？                                                                                                                                                                                                                          ,推荐      ,看过  ,地蛋牌            ,['40'],2019/4/24 21:10,"['173934544 ', ' 2018-02-13加入']"                                  ,1565
[]                                         ,我有一个疑问，一切回到五年前，又不改变这五年发生的一切，那么问题来了，那些失去妻子或者丈夫的，又重新与别人相爱了，现在原配回来了，这怎么处理呀？                                                                                                                                                                                                                                                                                                         ,力荐      ,看过  ,Kairos         ,['50'],2019/4/24 2:55 ,"['93408667 ', ' 2014-07-20加入']"                                   ,1576
['北京']                                     ,漫画里的奇迹一个接一个，电影里的回扣一层接一层，和一切的起点说再见了。这就是，逻辑无能为力，情感浩瀚有理。对于我个人而言，落点给了美队，心满意足了，从小学的FC横版过关，到90年代初傻乎乎的第一款电影版，收官。穿了整整8年的美特斯邦威美队主题T，也可以，脱掉了。                                                                                                                                                                                                                                              ,推荐      ,看过  ,法兰西胶片          ,['40'],2019/4/24 2:59 ,"['flxjp ', ' 2008-03-19加入']"                                      ,1300
['江苏南通']                                   ,复仇者联盟4:全员蚁人                                                                                                                                                                                                                                                                                                                                                                      ,力荐      ,看过  ,Leo.Smith      ,['50'],2019/4/24 1:09 ,"['156596295 ', ' 2017-01-18加入']"                                  ,1300
['北京']                                     ,"始于钢铁侠，终于钢铁侠。
晚安，我爱你三千遍。"                                                                                                                                                                                                                                                                                                                                                                    ,力荐      ,看过  ,S              ,['50'],2019/4/24 2:55 ,"['178157395 ', ' 2018-05-02加入']"                                  ,1238
['北京']                                     ,用多线剧情给自己过去的十年做总结，漫威这波操作很官方了，虽然有几处戳泪的剧情节点，也算不破不立吧…看看后半段大战里那些眼花缭乱的角色，感觉轻轻松松再拍个十年也没啥大问题，处处透露着一边给你递纸巾一边给你展望未来蓝图的野心…不过上一部仓促登场的惊奇队长有点保存实力的意思，大部分高光时刻都给了初代六位，角色与过去告别，观众与角色告别，也算是非常好的谢幕了。不少段落的怀旧范儿也很深得我心，包括对之前十年剧情的回溯，另外结合《复联3》来看灭霸也算是超英电影里诞生的又一个非典型反派，动机太哲学了，这魅力都快赶上隔壁小丑（就是造型输点儿），明显比以往大奸大恶的单细胞反派高出几个等级…给特写的时候差点给人看哭了，有点「壮志未酬」的悲情，总之站在他角度看完全又是另一番滋味，漫威不拍一部《灭霸传》着实可惜了。                   ,推荐      ,看过  ,柯里昂            ,['40'],2019/4/24 3:13 ,"['pirealwei ', ' 2009-03-30加入']"                                  ,1116
['广东深圳']                                   ,"其实开头是一起宝石引发的血案，农民灭伯伯正在煮东西吃，被一帮亡命之徒闯入，还没有反应过来被大腹便便男子一斧头砍断手，最后被一群不法分子围殴致死，太惨了！
Great job for Marvel Studios ！如同魔戒一样悲喜交加结局才是最完美的，完结就是要疯狂致敬，某公司给我好好看好好学如何用22部电影铺垫一位史诗角色的陨落，这才叫生的光荣死得其所！而不是直接把王炸甩出去！Avengers4商业成功让所有的漫改电影都黯然失色，MCU成功继承了21世纪初XCU和TDK的衣钵，将美漫文化发扬光大。作为历史最成功的超级反派灭霸，罗素兄弟和凯文费奇居功至伟！MCU发展历程就如同一个屌丝逆袭为高富帅，在好莱坞这片神奇地方英雄不问出处。MCU宇宙毫无疑问称得上其他电影宇宙学习借鉴的一个标杆尺度。
"                                                                                                 ,力荐      ,看过  ,Ada?Wang??     ,['50'],2019/4/24 3:01 ,"['adakenndy ', ' 2014-12-19加入']"                                  ,1105
['江苏苏州']                                   ,队长与爱人横亘七十年不能共舞，蚁人与女儿分隔五年未能相见，钢铁侠邂逅父亲期盼新生，雷神遇见母亲不忍分别。时间会给爱情设置衰老的考验，给生命带来变化的乐趣，会让未尽千言凝成一个拥抱，让遗憾万般聚成一场话别。天神拥有肉身，超能沦为凡胎，你是一千四百万分之一的胜利，是三千遍仍未尽的爱。                                                                                                                                                                                                                                     ,力荐      ,看过  ,西楼尘            ,['50'],2019/4/24 23:54,"['xilouchen ', ' 2011-02-08加入']"                                  ,1065
['北京']                                     ,【B+】漫威前所未有的复杂剧本，前所未有的史诗大战，前所未有的英雄悲歌。可以说，直到复联4，漫威才真正发挥出电影宇宙设定的魅力，一种跨越银幕内外的时代沧桑。甚至在其强大的情感力量面前，一切瑕疵和遗憾都可以被原谅了                                                                                                                                                                                                                                                                       ,力荐      ,看过  ,掉线             ,['50'],2019/4/24 3:15 ,"['ballteda ', ' 2010-08-23加入']"                                   ,668
['北京']                                     ,其实我一直不喜欢《复联1-3》，尤其对过度拥挤的战斗场面审美疲劳。《复联4》于我来说是一种巨大的解脱，它不再仰仗战斗场面，而是有足够的时间来处理上一集所带来的影响。你在凝视着时间，时间也在凝视着你。这一集是整个漫威宇宙的顶点，也是漫威十一年旅程的暂告一段落，像一场告别，牵动着观众对他们喜欢的角色和故事的记忆跟情感经历。                                                                                                                                                                                                                 ,推荐      ,看过  ,大奇特(Grinch)    ,['40'],2019/4/24 3:31 ,"['grinch ', ' 2005-12-31加入']"                                     ,614
['北京']                                     ,一定要刷IMAX版！在被雷神妈妈“多吃点儿素”和傲娇蚁人“你才在重复说你说过的话，你才…”等段子逗乐之余，《复联4》带我们漂泊于理智与情感的回忆长河，从第一秒就注定感伤。黑寡妇“如果你让我积极的面对生活，我就把三明治砸你脸上”、鹰眼“不要给我希望”、雷神“生命中唯一的永恒就是生命的无常”、钢铁侠“你玩弄时间，时间就会玩弄你”、队长“- ta有家人吗？- 有吧，就是我们了”…止不住的热泪盈眶。“只要有人牵挂过去，就不会接受未来” 十年前《钢铁侠》出来时的惊艳，远远没想到它只是一个小开始。漫威宇宙大到让人猝不及防，看这部的时候在想，再过10年30年，这里面的英雄成为过去和经典，再回忆会是怎样的感慨万千。再见了，超级英雄~                                                         ,力荐      ,看过  ,影志             ,['50'],2019/4/24 19:47,"['tjz230 ', ' 2005-07-18加入']"                                     ,556
['北京']                                     ,“漫威宇宙”电影院播放的电视剧的阶段性大结局。除了片尾回顾角色以外，在“逆转未来”时空穿越的过程中，就完成了一次过往演员的大集结，甚至包括娜塔莉波特曼等本不会再出现的人物。解释了上一集留下的大bug，在大家想象到的结局内有不断的惊喜，在从第15分钟出片名开始，就有卧槽，到后面卧槽不断。没有彩蛋看完了片尾字幕，最后，我爱你3000次。                                                                                                                                                                                                          ,推荐      ,看过  ,kakakarl       ,['40'],2019/4/24 3:04 ,"['zhanyakui ', ' 2011-12-24加入']"                                  ,632
['湖北武汉']                                   ,今年也要毕业了，漫威这代结束了，TBBT也结束了，权游也结束了，终要离别。                                                                                                                                                                                                                                                                                                                                            ,力荐      ,看过  ,wheres my mind ,['50'],2019/4/24 0:07 ,"['hellodantong ', ' 2013-02-12加入']"                               ,528
['上海']                                     ,"我永远地失去了我的英雄
但他直到死的那一刻也是让所有人敬仰的英雄
谢谢让托尼遇到了霍华德
谢谢让史蒂夫赶上了他的约会
谢谢让索尔见到了弗丽嘉
谢谢队长的avengers assemble
感谢圆了他们的梦，也感谢圆了我的梦
感谢有你们的这些年
但是终究还是意难平了，我的初代，我真希望你们都有一个美好的结局"                                                                                                                                                                                                                                                                                                                                                 ,力荐      ,看过  ,火火火            ,['50'],2019/4/24 4:13 ,"['143248684 ', ' 2016-03-14加入']"                                  ,550
['山东青岛']                                   ,最后还是有彩蛋的，最后logo出现时，有敲打铁器的声音，在我的记忆里，那个声音来自《钢铁侠1》中的那个山洞…最后绯红女巫身后的男孩应该来自《钢铁侠3》…不知道说什么好，过去的11年突然有了更深更复杂的意义，一生能够看到一部这样的电影，很值了。                                                                                                                                                                                                                                                        ,力荐      ,看过  ,女神的秋裤          ,['50'],2019/4/24 5:18 ,"['movieater ', ' 2015-04-07加入']"                                  ,488
[]                                         ,一桶爆米花吃了11年，突然没彩蛋的漫威还真不习惯。再见，英雄们~（罗素兄弟可以试试拍文艺片！）                                                                                                                                                                                                                                                                                                                                  ,推荐      ,看过  ,同志亦凡人中文站       ,['40'],2019/4/24 17:44,"['3540441 ', ' 2009-01-25加入']"                                    ,355
['北京']                                     ,星际大联欢，节奏把控得真好，武戏利落，文戏精练，笑点插得自然又精准，三个小时完全不显冗长。最喜欢的是这回整个故事的落脚点：再没有英雄、责任之类的长篇说教，有的只是想在时间长河中追回失物、追回所爱的炽热心情，毕竟最动人的故事不是拯救世界，永远是人与人之间的相遇和离别啊?                                                                                                                                                                                                                                           ,力荐      ,看过  ,王大根            ,['50'],2019/4/24 15:20,"['diewithme ', ' 2009-07-18加入']"                                  ,351
['重庆']                                     ,"11年，历经21部电影的铺垫，终于迎来最后的高潮。并且将它们全部串联在一起，这是史无前例的壮举，令人难以置信。
笑着笑着就哭了，哭着哭着又笑了……
以“I am Iron Man”开始，又以“I am Iron Man”结束。史蒂夫也赶上了约会圆了人生最大的遗憾。这是最好的漫威，最好的复联。此生不悔入漫威！！！
“Avengers，Assemble”，原以为复联3中瓦坎达大战就足够令人震撼，但这里还比瓦坎达大战强十倍。史诗般的大决战场面，MCU中的巅峰之战，超级无敌燃！！！
永远的A 6！感谢你们给我们带来的力量和信仰，欢乐和悲伤，惊喜和感动。我爱每一位超级英雄，我爱你们三千遍！！！
唯一不满的一点，辣鸡罗素，还我托尼·斯塔克！！！"                                                                                                                                                                                                                                                                                               ,力荐      ,看过  ,飞侠式拼搏          ,['50'],2019/4/24 0:06 ,"['169876891 ', ' 2017-11-19加入']"                                  ,422
['浙江杭州']                                   ,"1我觉得就我个人而言，应该是漫威最好的一部，因为完成了十年的收官，做到了为所有人补全属于自己的那一面，不留遗憾。
2这电影不太符合豆瓣电影欣赏水平吧，但是在我们这个年代这样现象级的电影，是很完美的。算是青春吧。
3如果你觉得不好看，那说明确实不是拍给你看的。
4CP女孩哭泣之夜。
5爱你三千遍。"                                                                                                                                                                                                                                                                                                                        ,力荐      ,看过  ,尘与尘            ,['50'],2019/4/24 3:50 ,"['l1nxy ', ' 2013-06-18加入']"                                      ,423
['北京']                                     ,最终能做到这样，已经是很棒的一部阶段尾声作品了，感觉信息量都要爆掉。有燃到炸裂的爽翻天，也有难以阻挡的告别。再见，未来还要再见！                                                                                                                                                                                                                                                                                                                 ,推荐      ,看过  ,心生             ,['40'],2019/4/24 3:17 ,"['itzhaoxiangyu ', ' 2010-09-13加入']"                              ,354
['河北保定']                                   ,"看到一半电影院停电 也是6死了
2刷才发现 黑寡妇才是值得尊重 其他人都要放弃的时候 她坚持在基地
一分钟后见
平安回来"                                                                                                                                                                                                                                                                                                                                                ,力荐      ,看过  ,keshenlalala   ,['50'],2019/4/24 1:27 ,"['148800176 ', ' 2016-07-26加入']"                                  ,401
['河南洛阳']                                   ,"老三巨头谢幕；为什么铁人要拿最高片酬；美队最强地球人“实锤”、70年前那支舞终究兑现了；论中年大叔的垮掉从有啤酒肚开始；反派终于面目可憎了；女权主义者的盛宴；女巫最赞不接受反驳；对漫画有呼应和斯坦李最后一次出境了；前作里的伏笔也基本上都接上了。作为21部一路看过来的人，表示挺圆满的了。
"                                                                                                                                                                                                                                 ,力荐      ,看过  ,罗严塔尔           ,['50'],2019/4/24 3:50 ,"['48977773 ', ' 2011-01-23加入']"                                   ,282
[]                                         ,一场盛大的终结，即使之前不是漫威粉丝，此刻也不得不惊叹于这场十年布局的精妙和野心。本质上是升级综合版的《逆转未来》，但是看到一幕幕曾经惊艳到我们的场景出现，不由得心生感慨，也不禁会思考，如果我们拥有回到过去的能力，会对过去的自己和想见的人说些什么？又是否能改变什么？从这个角度来说，这部终局之战更像是一部人性之作，它在探寻人在面临失去后的选择与处境，责任的担当与传承，当然还有必不可少的牺牲精神，随着惊奇队长的加盟，女权精神也得到了更为明显的展现。到最后还是落得白茫茫大地真干净，从谁身上引出的传奇自然由谁结束，娜塔莎在提到因为超级英雄这份工作变得更好的真情流露，可能也是所有演员们的心声。毕竟这22部作品确实承载了太多意义。                                                        ,推荐      ,看过  ,二十二岛主          ,['40'],2019/4/24 2:51 ,"['48369193 ', ' 2010-12-26加入', '\n        ', '\n']"               ,252
['广西南宁']                                   ,想打五星，也想给一星。                                                                                                                                                                                                                                                                                                                                                                      ,推荐      ,看过  ,柏林苍穹下          ,['40'],2019/4/24 22:23,"['chenchangxing ', ' 2006-03-19加入']"                              ,227
['江苏南京']                                   ,买到了《复联4》预售票，一个人去电影院凌晨三点多看完电影一个人回去，很酷吧。所有你看过的剧情猜测都是错的，所有的伏笔和细节都圆满了。我的初心六人组，最后都获得了完美的归宿。不剧透什么，祝每一个在生活中一腔孤勇的我们，观影愉快。                                                                                                                                                                                                                                                                ,力荐      ,看过  ,雨小农和獭祭鱼        ,['50'],2019/4/24 2:55 ,"['69578199 ', ' 2013-02-27加入']"                                   ,273
['广东广州']                                   ,“You can rest now.” 太过沉重的结局。各种意义上的，见证了一个时代的结束。                                                                                                                                                                                                                                                                                                                                   ,力荐      ,看过  ,国王KING         ,['50'],2019/4/24 2:55 ,"['problemchildren ', ' 2009-06-19加入', '\n        ', '\n']"        ,230
"['Manchester, United Kingdom']"           ,一个带有缺憾的句号。                                                                                                                                                                                                                                                                                                                                                                       ,力荐      ,看过  ,桑下             ,['50'],2019/4/24 1:05 ,"['dounianghao2 ', ' 2011-04-22加入']"                               ,246
['湖北武汉']                                   ,愿每个人都能成为自己平凡之路上的超级英雄。                                                                                                                                                                                                                                                                                                                                                            ,力荐      ,看过  ,农夫渔夫           ,['50'],2019/4/24 0:05 ,"['66112600 ', ' 2012-11-09加入']"                                   ,220
[]                                         ,粉丝看了落泪，路人看了爆笑。腐女看了高潮，直男看了热血。漫威粉看了鼓掌，DC粉看了抱拳。                                                                                                                                                                                                                                                                                                                                     ,力荐      ,看过  ,xiaoxixi       ,['50'],2019/4/24 3:50 ,"['73778550 ', ' 2013-06-12加入']"                                   ,225
"['Paris, France']"                        ,1 > 4 > 2 > 3                                                                                                                                                                                                                                                                                                                                                                    ,推荐      ,看过  ,陀螺凡达可          ,['40'],2019/4/24 23:28,"['cabaret ', ' 2010-09-07加入']"                                    ,142
['上海']                                     ,很难承认，2019年度十佳将出现一部超级英雄电影。悲壮、史诗、深情，这些不曾存在于漫威字典里的词，在这终章中得以展现。对路人来说，这是一部逻辑自洽、节奏有序、编排得当的商业大作，对粉丝来说这是一场情怀至上的青春告别仪式。无疑，这是漫威11年最好的结局。另片尾其实是有彩蛋的（仔细听）。                                                                                                                                                                                                                                   ,力荐      ,看过  ,Feixiang       ,['50'],2019/4/24 3:05 ,"['feixianggod ', ' 2015-05-03加入']"                                ,194
['上海']                                     ,I love you three thousand.                                                                                                                                                                                                                                                                                                                                                       ,推荐      ,看过  ,爱德没有华          ,['40'],2019/4/24 3:52 ,"['80044292 ', ' 2013-11-15加入']"                                   ,201
['北京']                                     ,看之前别化妆了姐妹们，能哭掉你十层粉                                                                                                                                                                                                                                                                                                                                                               ,力荐      ,看过  ,羚羊的灵魂          ,['50'],2019/4/24 2:57 ,"['clzleo ', ' 2012-03-06加入']"                                     ,151
[]                                         ,五颗星都给妮妮和寡姐，他们必须有姓名！！！！罗素兄弟，你们两个糟老头，坏的很。                                                                                                                                                                                                                                                                                                                                          ,力荐      ,看过  ,易如反掌           ,['50'],2019/4/24 0:23 ,"['187691771 ', ' 2018-11-22加入']"                                  ,162
['上海']                                     ,为了造各种情绪效果、为了剧情必须走向某个点，为了让某些人活或死，故事已经无视逻辑了，为此只能送两个字：春晚。                                                                                                                                                                                                                                                                                                                           ,推荐      ,看过  ,Evarnold       ,['40'],2019/4/24 3:07 ,"['Evarnold ', ' 2007-02-23加入']"                                   ,151
['广东广州']                                   ,漫威用美妙的方式串联起前21部影片，每个我们熟悉的人物都散发着前所未有的光芒，感觉复联4不是一部电影，而是一场属于英雄们的授勋典礼。                                                                                                                                                                                                                                                                                                               ,力荐      ,看过  ,彩蛋君KL          ,['50'],2019/4/24 5:06 ,"['EverybodyFool ', ' 2010-03-17加入']"                              ,111
['北京']                                     ,"世间所有的相遇，都是久别的重逢。首日二刷，IMAX+杜比，漫威宇宙的节点，初代复仇者谢幕，角色退役前与过往的叙旧，也带领观众完成记忆上的二次共情，整部电影就是大彩蛋，无数漫威宇宙梗个中体会，结尾更燃到极点，怎能不泪流满面。从电影的角度，该片不算完美，但谁在乎，情怀的力量，这才是“我们的10年”，承载的是一起走过的青春。结局是遗憾的，因为有人离去，但残缺,也算一种美，为了让我们更好的铭记，爱你三千遍"                                                                                                                                                                       ,力荐      ,看过  ,乌鸦火堂           ,['50'],2019/4/25 6:08 ,"['dreamfox ', ' 2008-03-12加入']"                                   ,95
['福建泉州']                                   ,1.我的漫威电影之旅从钢铁侠开始，也是从那一刻开始，他成了我最喜欢的漫威角色！2.影片精巧串联了系列作品，前面不疾不徐铺排线索，最后恢宏磅礴高潮迭起，非常满意，数次热泪盈眶！3.对于自己而言，这是一场告别，一个完美的完结！                                                                                                                                                                                                                                                                  ,力荐      ,看过  ,有心打扰           ,['50'],2019/4/24 3:06 ,"['kejinlong ', ' 2010-03-23加入']"                                  ,122
['陕西西安']                                   ,I AM IRONMAN                                                                                                                                                                                                                                                                                                                                                                     ,力荐      ,看过  ,Stanley Suo    ,['50'],2019/4/24 2:42 ,"['155445473 ', ' 2016-12-24加入']"                                  ,126
[]                                         ,这一集打斗少，对话多，时间线穿越设计的很合理，很多之前系列电影的情怀，老玩家看了非常有代入感。两小时对话，一小时打斗，最后打戏精彩，集结的场面很热血。漫威十年，一代人的爱                                                                                                                                                                                                                                                                                            ,力荐      ,看过  ,倒霉熊打瞌睡         ,['50'],2019/4/24 3:25 ,"['45617967 ', ' 2010-09-06加入']"                                   ,111
